call_type,address,state,time,lon,lat
"Suspicious Subj, Veh, Or Circumstance",5200 Block of SE 67th Ave,"Portland, OR",1901-12-13T20:45:52.“48364Z,-122.5944191,45.4854804
"Suspicious Subj, Veh, Or Circumstance",SE 90th PL & SE Powell Blvd,"Portland, OR",1901-12-13T20:45:52.“48364Z,-122.5708051,45.5016479
Noise Disturbance,4300 Block of NE 125th Pl,"Portland, OR",1901-12-13T20:45:52.“48364Z,-122.5327795,45.5542967
Unwanted Person,500 Block of SW Broadway,"Portland, OR",1901-12-13T20:45:52.“48364Z,-122.6789143,45.5206834
"Suspicious Subj, Veh, Or Circumstance",SE 96th Ave & SE Pardee St,"Portland, OR",1901-12-13T20:45:52.“48364Z,-122.5648126,45.4827084
Area Check,SB I5 FWY TO & N Marine Dr Exit,"Portland, OR",1901-12-13T20:45:52.“48364Z,-121.521996,38.525547
Theft - Cold,1000 Block of NE 9th Ave,"Portland, OR",1901-12-13T20:45:52.“48364Z,-122.6565829,45.5299908
"Suspicious Subj, Veh, Or Circumstance",1900 Block of NW Johnson St,"Portland, OR",1901-12-13T20:45:52.“48364Z,-122.6904661,45.5285207
Disturbance - Priority,5300 Block of SE Knapp St,"Portland, OR",1901-12-13T20:45:52.“48364Z,-122.609,45.469823
"Suspicious Subj, Veh, Or Circumstance",NE Going St & NE Rodney Ave,"Portland, OR",1901-12-13T20:45:52.“48364Z,-122.6198487,45.5567008
Vehicle Stolen - Cold,14900 Block of SE Gladstone St,"Portland, OR",1901-12-13T20:45:52.“48364Z,-122.5097793,45.4926305
Unwanted Person,1400 Block of NW Kearney St,"Portland, OR",1901-12-13T20:45:52.“48364Z,-122.6853675,45.5293159
Hazard - Hazardous Condition,3200 Block of NE 84th Ave,"Portland, OR",1901-12-13T20:45:52.“48364Z,-122.5767847,45.5454666
Accident - Injury,NB I205 FWY SO & SE Foster Rd Exit,"Portland, OR",1901-12-13T20:45:52.“48364Z,-117.7185413,41.9981941
Unwanted Person,2600 Block of SE 33rd Ave,"Portland, OR",1901-12-13T20:45:52.“48364Z,-122.6315416,45.5039704
Suspicious - Priority,0 NW Davis St,"Portland, OR",1901-12-13T20:45:52.“48364Z,-122.6708236,45.5245904
Unwanted Person,NE Cesar E Chavez Blvd & NE Senate St,"Portland, OR",1901-12-13T20:45:52.“48364Z,-122.622827,45.546988
Area Check,NE 105th Ave & NE Killingsworth St,"Portland, OR",1901-12-13T20:45:52.“48364Z,-122.5547464,45.5481001
Suspicious - Priority,SB I5 FWY At & Jantzen Beach Exit,"Portland, OR",1901-12-13T20:45:52.“48364Z,-121.521996,38.525547
